"Currently Shopping by:","Selectie verfijning:"
"Sort By","Sorteer op"
"Contact Information","Contact Informatie"
"Contact Us","Contacteer Ons"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Door bij ons een account aan te maken zal veilingen kunnen volgen, bieden, verleden aankopen bekijken en veel meer."
"New Customers","Nieuwe Klanten"
"Registered Customers","Geregistreerde klanten"
"If you have an account with us, please log in.","Indien u een account heeft, gelieve in te loggen."
"Forgot Your Password?","Paswoord vergeten?"
"Login or Create an Account","Log in of registreer"
"Shopping Cart is Empty","Winkelwagen is leeg"
"Your shopping cart is empty","Uw winkelwagen is leeg"
"Click <a href="%s">here</a> to continue shopping.","Klik <a href="%s">hier</a> om verder te winkelen."
"Enter Bidder Name","Geef een naam in"
"My Bids","Mijn Biedingen"
"You have not a bidder name to use in our Auction system! Please create a bidder nickname by form bellow","Je hebt nog geen bieder-alias! Maak hieronder één aan."
"Bidder Name","Bieder-alias"
"My Watched Auctions","Gevolgde veilingen"
"You have watched no auctions","Je volgd geen veilingen"
"My Watch List","Gevolgde veilingen"

"My Auto Bids","Proxybiedingen"
"You have placed no auto bids","Je hebt geen proxybiedingen gedaan"

"Newsletter Subscriptions","Nieuwsbrieven"

"Address Book","Adresboek"

"My Dashboard","Mijn Dashboard"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Vanuit u dashboard kunt u uw gegevens bekijken en wijzigen."
"You have not set a default billing address.","Je hebt geen standaard factuuradres ingevuld"
"Default Shipping Address","Standaard verzendadres"
"You have not set a default shipping address.","Je hebt geen standaard verzendadres ingevuld"

"Create Bid Name","Creëer biederalias"
"You can use this bidder name","Dit is een geldige alias!"
"This bidder name already exists","Deze alias bestaat reeds!"
"waiting","wachten"

"Send Email","Verzend email"